name,Num_EV,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost
B11005918,0,56.626506,247894.18090923852,0.0,83.0,664.86914
B11005919,0,64.912281,274151.0701491018,0.0,98.0,751.89941
B11005920,0,46.575342,203808.93160330557,0.0,96.0,602.76232
B11005921,0,59.756098,224383.9510365464,0.0,87.0,640.891
B11005922,0,37.5,169888.25,0.0,61.0,461.6525
B11005923,0,60.344828,247027.36207974734,0.0,90.0,684.22785
B11005924,0,72.972973,339365.5135004049,0.0,101.0,876.61265
B11005925,0,30.588235,123783.00005949991,0.0,52.0,357.42852
B11005926,0,36.363636,162210.54551845868,0.0,56.0,437.24713
B11006058,0,11.764706,125150.8236187698,0.0,61.647059,345.70005
B11006059,0,3.5714286,94984.64289610917,0.0,42.0,243.18831
B11006060,0,7.4074074,358561.000412075,0.0,149.0,887.94495
B11006061,0,2.7777778,114065.22216736096,0.0,60.0,308.68291
B11006062,0,3.030303,118105.8788927744,0.0,58.0,311.55459
