,0
B11001827,7
B11001828,7
B11001829,7
B11001830,7
B11001831,7
B11001832,7
B11001833,7
B11001834,7
B11001835,7
B11001836,7
B11001837,7
B11001838,7
B11001839,7
B11001840,7
B11001841,7
B11001842,7
B11001843,0
B11001844,7
B11001845,7
B11001846,5
B11001847,7
B11001848,7
B11001849,2
B11001850,7
B11001853,4
B11001855,4
B11001856,9
B11001857,8
B11001858,9
B11001859,9
B11001860,9
B11001861,9
B11001862,9
B11001863,9
B11001864,9
B11001865,9
B11001866,9
B11001867,9
B11001868,9
B11001869,9
B11001870,6
B11001871,6
B11001872,6
B11001873,6
B11001874,6
B11001875,6
B11001876,6
B11001877,3
B11001878,6
B11001879,6
B11001880,6
B11001881,6
B11001882,6
B11001883,6
B11001884,6
B11001885,6
B11001886,6
B11001887,6
B11001889,3
B11001890,3
B11001891,3
B11001894,5
B11001895,6
B11001896,3
B11001897,3
B11001898,6
B11001899,6
B11001900,3
B11001901,6
B11001904,8
B11001905,9
B11001906,2
B11001907,4
B11001909,0
B11001910,0
B11001911,0
B11001912,0
B11001913,0
B11001914,0
B11001915,0
B11001916,0
B11001917,0
B11001918,0
B11001919,0
B11001920,0
B11001921,0
B11001922,0
B11001923,0
B11001924,0
B11001925,0
B11001926,0
B11001927,5
B11001928,4
B11001929,4
B11001930,7
B11001931,0
B11001932,0
B11001933,0
B11001934,0
B11001935,0
B11001936,0
B11001937,0
B11001938,0
B11001939,7
B11001940,0
B11001941,0
B11001942,0
B11001943,0
B11001944,0
B11001945,0
B11001946,0
B11001947,0
B11001948,0
B11001949,0
B11001950,0
B11001951,0
B11001952,0
B11001953,0
B11001954,0
B11001955,0
B11001956,0
B11001958,2
B11001959,2
B11001960,8
B11001961,9
B11001962,2
B11001963,0
B11001964,0
B11001965,0
B11001966,0
B11001967,0
B11001968,0
B11001969,0
B11001970,0
B11001971,0
B11001972,0
B11001973,0
B11001974,0
B11001975,0
B11001976,0
B11001977,0
B11001978,0
B11001979,0
B11001980,0
B11001981,0
B11001982,0
B11001984,5
B11001985,5
B11001986,7
B11001987,7
B11001988,5
B11001989,7
B11001991,7
B11001992,7
B11001993,7
B11001994,7
B11001995,7
B11001996,7
B11001997,7
B11001998,7
B11001999,7
B11002000,7
B11002001,7
B11002002,7
B11002003,7
B11002004,7
B11002005,7
B11002006,7
B11002007,7
B11002008,7
B11002009,7
B11002010,7
B11002011,7
B11002012,7
B11002013,7
B11002014,7
B11002015,7
B11002016,0
B11002017,7
B11002019,0
B11002020,7
B11002021,7
B11002022,7
B11002023,0
B11002024,7
B11002025,8
B11002026,7
B11002027,7
B11002028,7
B11002029,7
B11002030,7
B11002031,7
B11002032,7
B11002033,7
B11002034,7
B11002035,7
B11002036,7
B11002037,7
B11002038,7
B11002039,7
B11002040,7
B11002041,0
B11002042,7
B11002044,7
B11002045,7
B11002046,7
B11002047,7
B11002048,7
B11002049,7
B11002050,7
B11002051,7
B11002052,7
B11002053,7
B11002054,0
B11002055,7
B11002056,7
B11002057,7
B11002058,7
B11002059,7
B11002060,7
B11002061,7
B11002063,7
B11002064,7
B11002065,7
B11002066,7
B11002067,7
B11002068,7
B11002069,7
B11002070,7
B11002071,7
B11002072,7
B11002073,7
B11002074,7
B11002075,7
B11002076,0
B11002077,7
B11002078,7
B11002079,7
B11002080,7
B11002081,7
B11002082,7
B11002083,7
B11002084,7
B11002085,7
B11002086,2
B11002087,7
B11002088,7
B11002089,7
B11002090,7
B11002091,7
B11002092,7
B11002093,7
B11002094,7
B11002095,7
B11002096,7
B11002097,7
B11002098,7
B11002099,7
B11002100,7
B11002101,7
B11002102,0
B11002103,7
B11002104,7
B11002105,7
B11002106,7
B11002107,7
B11002108,7
B11002109,7
B11002110,7
B11002111,7
B11002112,7
B11002113,7
B11002114,7
B11002115,7
B11002116,8
B11002118,7
B11002119,3
B11002120,7
B11002121,7
B11002122,7
B11002123,7
B11002124,7
B11002125,7
B11002126,7
B11002127,7
B11002128,7
B11002129,7
B11002130,7
B11002131,7
B11002132,7
B11002133,7
B11002134,7
B11002135,7
B11002136,7
B11002137,7
B11002138,0
B11002139,7
B11002140,7
B11002141,7
B11002142,7
B11002143,7
B11002145,1
B11002146,7
B11002147,7
B11002148,0
B11002149,0
B11002150,0
B11002151,0
B11002152,0
B11002153,0
B11002154,0
B11002155,0
B11002156,0
B11002157,0
B11002158,0
B11002159,0
B11002160,0
B11002161,0
B11002162,0
B11002163,0
B11002164,0
B11002165,0
B11002166,0
B11002167,0
B11002168,0
B11002169,0
B11002170,0
B11002171,0
B11002172,0
B11002173,0
