name,Num_EV,Demand,RES,SolarCapacity,BuyPowerEnergy,TripEnergy,ContractPower,Cost,EnergyCost,ContractCost
B11001619,5,594754.0,103264.81720859998,74.390244,498197.98408968135,5969.682539682541,121.0,1183.6248,787.56528,244.5168
B11001620,5,486273.0,131311.48704925,94.594595,370005.7000692886,5969.682539682541,105.05405,982.15627,582.45763,212.29323
B11001621,5,2693761.0,489411.85541499994,352.5641,2217383.6129049207,5969.682539682541,513.0,5220.234,3538.2623,1036.6704
B11001622,5,1243924.0,247009.04901699998,177.94118,1005428.3616119828,5969.682539682541,212.22059,2363.3348,1599.1339,428.85536
B11001623,5,198142.0,33184.56,24.0,170948.5625478488,5969.682539682541,39.64,406.17072,263.96621,80.104512
B11001624,5,129775.0,13131.148704924997,9.4594595,122635.62650452007,5969.682539682541,46.905405,317.74249,186.66551,94.786443
B11001625,5,162468.0,54745.75702830002,39.393939,114115.34599006,6365.079365079365,30.666667,323.79587,172.40043,61.9712
B11001626,5,237179.0,52603.57916654999,37.894737,191046.51435258402,6365.079365079365,48.621053,480.50688,295.4903,98.253423
B11001628,5,273190.0,89290.92817458,64.285714,190922.75545637173,6365.079365079365,59.642857,549.42571,295.29228,120.52629
B11001629,5,704479.0,203698.00462950004,146.66667,510158.27875684336,6365.079365079365,137.13333,1363.0215,806.06912,277.11904
B11001630,5,535419.0,119738.79372608999,86.206897,426149.16748058837,6365.079365079365,140.13793,1127.3625,671.65454,283.19073
B11001631,5,176577.0,27762.999999999996,20.0,155246.08432522978,6365.079365079365,83.0,460.93601,238.20961,167.7264
B11001632,5,83003.0,23461.689515199996,16.901408,66078.23180506076,6365.079365079365,37.0,219.81064,95.541044,74.7696
B11001633,5,408755.0,89352.1837804,64.367816,326081.2473405805,6365.079365079365,93.356322,833.9532,511.54587,188.65446
B11001634,5,259725.0,53417.3070513,38.461538,212851.30857579087,6365.079365079365,65.461538,550.43187,330.37797,132.28468
B11001636,5,346963.0,74992.01218035,54.022989,278665.8637100936,6365.079365079365,103.45977,760.14356,435.68126,209.0715
B11001637,5,487183.0,143105.995791,103.0303,353587.05526528705,6365.079365079365,114.93939,990.20347,555.55516,232.26953
B11001638,5,325160.0,95858.49364244999,69.014085,235976.8791984313,6365.079365079365,81.309859,673.68984,367.37888,164.31096
B11001639,5,257016.0,31429.810718349996,22.641509,232327.1093386358,6365.079365079365,148.77358,721.86959,361.53925,300.64166
B11001640,5,1931709.0,495126.95539230003,356.47059,1459010.29227521,6365.079365079365,382.43529,3749.2929,2324.2323,772.82524
B11001641,5,184716.0,29224.211110799995,21.052632,161934.1463791489,6365.079365079365,75.0,457.33893,248.91051,151.56
B11001642,5,303919.0,57621.32080709999,41.509434,252792.59704090402,6365.079365079365,121.0,731.98007,394.28403,244.5168
B11001643,5,497672.0,113465.15514477,81.690141,391077.68738530995,6365.079365079365,112.3662,1007.1098,615.54017,227.06961
B11001644,5,492055.0,34703.75,25.0,463735.6236251619,6365.079365079365,188.25,1176.0835,731.79287,380.4156
B11001645,5,125257.0,19087.062499999996,13.75,112689.29913706094,6365.079365079365,42.0,298.8986,170.11875,84.8736
B11001646,5,580775.0,152112.1435185,109.52381,435564.3241484076,6365.079365079365,137.0,1177.4732,686.71879,276.8496
B11001647,5,1199494.0,197585.87167440003,142.25352,1010456.1649436511,6365.079365079365,277.0,2438.3073,1606.5457,559.7616
B11001649,5,1352434.0,232900.725307,167.77778,1131943.3119240894,6031.587301587301,330.0,2785.6283,1801.4588,666.864
B11001650,5,1035073.0,125901.9761631,90.697674,917176.9881776457,6031.587301587301,276.0,2196.0618,1457.8326,557.7408
B11001651,5,552491.0,103593.2840379,74.626866,455524.8500901022,6031.587301587301,126.25373,1126.2854,719.18922,255.13354
B11001652,5,1089932.0,358935.93055449997,258.57143,789748.3207996279,6031.587301587301,295.57143,2329.7018,1253.9468,597.29074
B11001653,5,987884.0,173869.29951949997,125.25253,824450.0740585028,6031.587301587301,211.0,1977.6816,1309.4696,426.3888
B11001654,5,1461654.0,259523.69323799998,186.95652,1217135.523047608,6031.587301587301,357.0,3010.5397,1937.7663,721.4256
B11001655,5,1313681.0,203490.1717165,146.59091,1122269.7312153243,6031.587301587301,315.0,2702.2319,1785.981,636.552
B11001656,5,1474491.0,333155.99999999994,240.0,1157557.6572262961,6031.587301587301,347.6,2990.3718,1842.4417,702.43008
B11001657,5,660089.0,111773.11755014998,80.519481,555010.7717903213,6031.587301587301,160.0,1364.1168,878.36669,323.328
B11001658,5,1842606.0,351769.8282834999,253.40909,1510636.106134518,6031.587301587301,521.0,3929.5052,2407.3672,1052.8368
B11001659,5,1796502.0,324647.98700549995,233.87097,1488248.0900066937,6031.587301587301,447.0,3709.465,2371.5464,903.2976
B11001660,5,555889.0,95734.48242355,68.965517,467290.20969802333,6031.587301587301,127.31034,1137.1963,738.0138,257.26874
