計測日,計測時間,全体,空調,照明,動力,電灯,冷凍・冷熱,その他,,,
2013/04/18,10,75,,,27,40,,,,,
2013/04/18,11,70,,,21,41,,,,,
2013/04/18,12,70,,,24,38,,,,,
2013/04/18,13,73,,,22,39,,,,,
2013/04/18,14,81,,,28,38,,,,,
2013/04/18,15,84,,,36,41,,,,,
2013/04/18,16,79,,,30,41,,,,,
2013/04/18,17,82,,,31,40,,,,,
2013/04/18,18,78,,,32,40,,,,,
2013/04/18,19,45,,,23,34,,,,,
2013/04/18,20,29,,,16,11,,,,,
2013/04/18,21,25,,,13,10,,,,,
2013/04/18,22,26,,,11,9,,,,,
2013/04/18,23,34,,,15,8,,,,,
2013/04/18,24,36,,,24,8,,,,,
2013/04/19,01,51,,,31,8,,,,,
2013/04/19,02,40,,,30,9,,,,,
2013/04/19,03,27,,,20,8,,,,,
2013/04/19,04,26,,,13,8,,,,,
2013/04/19,05,26,,,13,8,,,,,
2013/04/19,06,32,,,13,8,,,,,
2013/04/19,07,44,,,21,12,,,,,
2013/04/19,08,78,,,27,29,,,,,
2013/04/19,09,85,,,36,36,,,,,
2013/04/19,10,81,,,35,40,,,,,
2013/04/19,11,77,,,27,42,,,,,
2013/04/19,12,76,,,26,40,,,,,
2013/04/19,13,78,,,26,44,,,,,
2013/04/19,14,78,,,27,42,,,,,
2013/04/19,15,77,,,28,41,,,,,
2013/04/19,16,81,,,30,41,,,,,
2013/04/19,17,82,,,34,39,,,,,
2013/04/19,18,52,,,27,35,,,,,
2013/04/19,19,33,,,17,15,,,,,
2013/04/19,20,30,,,18,9,,,,,
2013/04/19,21,28,,,16,8,,,,,
2013/04/19,22,26,,,14,8,,,,,
2013/04/19,23,26,,,13,8,,,,,
2013/04/19,24,34,,,16,8,,,,,
2013/04/20,01,49,,,31,8,,,,,
2013/04/20,02,43,,,33,7,,,,,
2013/04/20,03,26,,,21,7,,,,,
2013/04/20,04,28,,,13,7,,,,,
2013/04/20,05,30,,,18,7,,,,,
2013/04/20,06,33,,,16,7,,,,,
2013/04/20,07,57,,,25,12,,,,,
2013/04/20,08,85,,,39,31,,,,,
2013/04/20,09,83,,,38,36,,,,,
2013/04/20,10,77,,,32,39,,,,,
2013/04/20,11,76,,,28,41,,,,,
2013/04/20,12,75,,,27,40,,,,,
2013/04/20,13,80,,,27,40,,,,,
2013/04/20,14,86,,,27,46,,,,,
2013/04/20,15,100,,,33,48,,,,,
2013/04/20,16,102,,,40,55,,,,,
2013/04/20,17,99,,,37,54,,,,,
2013/04/20,18,94,,,36,51,,,,,
2013/04/20,19,68,,,30,48,,,,,
2013/04/20,20,34,,,22,17,,,,,
2013/04/20,21,27,,,17,8,,,,,
2013/04/20,22,25,,,13,8,,,,,
2013/04/20,23,30,,,15,7,,,,,
2013/04/20,24,38,,,21,7,,,,,
2013/04/21,01,52,,,36,7,,,,,
2013/04/21,02,44,,,34,7,,,,,
2013/04/21,03,29,,,24,7,,,,,
2013/04/21,04,28,,,18,7,,,,,
2013/04/21,05,26,,,14,7,,,,,
2013/04/21,06,27,,,14,7,,,,,
2013/04/21,07,54,,,18,10,,,,,
2013/04/21,08,89,,,38,33,,,,,
2013/04/21,09,83,,,35,40,,,,,
2013/04/21,10,83,,,31,42,,,,,
2013/04/21,11,84,,,30,45,,,,,
2013/04/21,12,84,,,30,45,,,,,
2013/04/21,13,86,,,29,47,,,,,
2013/04/21,14,93,,,30,48,,,,,
2013/04/21,15,96,,,35,53,,,,,
2013/04/21,16,97,,,31,53,,,,,
2013/04/21,17,90,,,33,50,,,,,
2013/04/21,18,75,,,30,47,,,,,
2013/04/21,19,40,,,19,28,,,,,
2013/04/21,20,31,,,20,9,,,,,
2013/04/21,21,27,,,17,8,,,,,
2013/04/21,22,26,,,12,8,,,,,
2013/04/21,23,33,,,18,8,,,,,
2013/04/21,24,37,,,21,8,,,,,
2013/04/22,01,49,,,34,7,,,,,
2013/04/22,02,43,,,33,7,,,,,
2013/04/22,03,25,,,20,7,,,,,
2013/04/22,04,29,,,14,7,,,,,
2013/04/22,05,29,,,19,7,,,,,
2013/04/22,06,27,,,15,7,,,,,
2013/04/22,07,52,,,19,10,,,,,
2013/04/22,08,83,,,38,28,,,,,
2013/04/22,09,76,,,34,36,,,,,
2013/04/22,10,72,,,25,41,,,,,
2013/04/22,11,72,,,22,40,,,,,
2013/04/22,12,73,,,24,40,,,,,
2013/04/22,13,77,,,23,41,,,,,
2013/04/22,14,82,,,29,42,,,,,
2013/04/22,15,86,,,35,41,,,,,
2013/04/22,16,81,,,30,42,,,,,
2013/04/22,17,78,,,28,43,,,,,
2013/04/22,18,49,,,28,33,,,,,
2013/04/22,19,31,,,17,11,,,,,
2013/04/22,20,29,,,18,8,,,,,
2013/04/22,21,28,,,17,8,,,,,
2013/04/22,22,31,,,17,7,,,,,
2013/04/22,23,32,,,20,7,,,,,
2013/04/22,24,37,,,21,7,,,,,
2013/04/23,01,46,,,32,7,,,,,
2013/04/23,02,39,,,30,7,,,,,
2013/04/23,03,26,,,18,7,,,,,
2013/04/23,04,25,,,13,8,,,,,
2013/04/23,05,28,,,13,7,,,,,
2013/04/23,06,28,,,18,7,,,,,
2013/04/23,07,30,,,14,8,,,,,
2013/04/23,08,37,,,21,9,,,,,
2013/04/23,09,28,,,17,9,,,,,
2013/04/23,10,27,,,14,10,,,,,
2013/04/23,11,24,,,12,10,,,,,
2013/04/23,12,20,,,6,10,,,,,
2013/04/23,13,22,,,6,10,,,,,
2013/04/23,14,22,,,6,11,,,,,
2013/04/23,15,25,,,9,10,,,,,
2013/04/23,16,24,,,11,10,,,,,
2013/04/23,17,22,,,6,10,,,,,
2013/04/23,18,22,,,6,11,,,,,
2013/04/23,19,22,,,6,10,,,,,
2013/04/23,20,23,,,12,8,,,,,
2013/04/23,21,20,,,9,8,,,,,
2013/04/23,22,20,,,6,7,,,,,
2013/04/23,23,23,,,10,7,,,,,
2013/04/23,24,28,,,14,7,,,,,
2013/04/24,01,27,,,17,7,,,,,
2013/04/24,02,26,,,14,7,,,,,
2013/04/24,03,26,,,13,7,,,,,
2013/04/24,04,29,,,15,8,,,,,
2013/04/24,05,27,,,18,7,,,,,
2013/04/24,06,26,,,13,7,,,,,
